from_number,to_number,call_time,call_duration,from_latitude,from_longitude,to_latitude,to_longitude
2021478326,9072756503,1463911350815,265,41.158350,-67.142344,40.841042,-103.824122
2021478326,5092929056,1489621246598,743,47.892263,-122.717407,43.425948,-117.865220
2021478326,9043109879,1461999122899,1743,38.250562,-94.419793,44.613636,-78.859105
2021478326,7735581623,1483856166274,884,33.870816,-120.262147,25.056596,-105.038042
2021478326,7735581623,1480814439026,1606,33.213930,-101.453887,44.454007,-84.277923
2021478326,7636115776,1475701129595,1650,48.677181,-92.907113,39.658739,-70.260746
2021478326,6511275990,1473516803423,519,41.206247,-83.677851,43.993586,-107.877754
2021478326,6188960232,1476145095980,488,43.694526,-122.132326,32.086271,-98.163777
2021478326,8653549548,1491381453139,1067,47.159587,-120.572933,31.195825,-70.932187
2021478326,5047349130,1476992913143,30,47.821669,-79.015814,42.457349,-94.781875
2021478326,7075400939,1476088685644,1283,46.183247,-88.783259,45.942490,-81.744175
2021478326,4249239307,1462771089910,855,36.338019,-75.105354,27.218470,-100.032604
2021478326,4249239307,1469859526854,84,42.352027,-115.270896,30.420529,-90.805177
2021478326,2143778143,1474045048912,78,32.119542,-109.744985,47.393808,-91.475505
2021478326,8788499428,1469115206184,599,41.458614,-124.127783,45.205271,-108.615394
2021478326,8632967297,1479783909069,1672,42.032633,-98.161712,43.979482,-76.883177
2021478326,9083087120,1468231707777,1773,43.193344,-84.721806,49.083575,-102.973785
2021478326,9083087120,1479742721451,1526,42.592546,-103.045241,41.653107,-121.583131
2021478326,9312164248,1471735790451,757,38.419757,-115.037723,29.298595,-74.216208
2021478326,8562074430,1466395814577,94,39.806405,-96.031288,49.002392,-123.608286
3038915905,9757453081,1475224697967,455,37.636328,-81.607340,43.817795,-103.115325
3038915905,7549096294,1477822701701,1696,25.292279,-67.495184,33.131556,-90.734310
3038915905,4172621838,1467956074530,266,34.416144,-79.175462,33.079022,-80.201247
3038915905,4172621838,1469479001914,1016,33.975703,-105.476468,49.167473,-71.124225
3038915905,9758503766,1460206735150,186,36.852718,-105.133637,39.040997,-95.524544
3038915905,9758503766,1466896075309,306,25.028918,-94.514921,32.339285,-115.730318
3038915905,6628202746,1488984241693,47,46.486030,-93.634065,43.801027,-112.475773
3038915905,5736473641,1460692616976,6,30.282394,-119.693953,28.404433,-91.843674
3038915905,9124336002,1468033186962,1494,31.540988,-85.456030,25.112656,-122.950183
3038915905,2031948026,1483929160263,1237,38.571550,-103.941615,45.006094,-123.473266
3038915905,8057977718,1472953293760,675,46.523855,-90.920340,28.109572,-84.156538
3038915905,9313493608,1480286393458,904,42.716905,-116.556773,28.152992,-95.268266
3038915905,7731259506,1464803239968,374,33.906625,-97.311165,42.392308,-103.916803
3038915905,7731259506,1473398383946,608,41.369345,-121.240008,43.128387,-67.512932
3038915905,7731259506,1471256982110,59,42.767371,-87.598383,35.773498,-122.017322
3038915905,8184986668,1465538752432,1308,48.085712,-109.333377,35.861378,-114.951521
3038915905,4804628091,1460415968147,1691,32.576222,-66.903070,24.920683,-96.472698
3038915905,4804628091,1480698116867,1087,37.529623,-121.358632,26.817600,-98.728288
3038915905,9167284514,1483268507833,1282,25.658665,-74.783876,29.569041,-119.278470
3038915905,9167284514,1466063164849,269,26.911000,-90.387582,41.398938,-76.849569
7708038985,4132581187,1471536275803,1527,28.744695,-82.692241,36.967216,-117.798771
7708038985,5108074398,1473445133584,644,26.314963,-100.877949,38.800927,-123.533526
7708038985,5108074398,1479346513292,1016,35.872247,-86.375835,47.733350,-93.718866
7708038985,9569008480,1460552814190,1378,47.927344,-67.850452,42.898196,-99.739628
7708038985,7757447873,1476394475289,179,40.349167,-84.645225,37.374973,-92.303962
7708038985,8355871465,1470853690726,545,32.680362,-108.000097,44.194186,-90.994147
7708038985,8355871465,1486349763073,47,40.595634,-120.246248,42.539376,-72.142515
7708038985,6363028085,1477388254069,996,41.747033,-95.496057,38.476116,-74.693340
7708038985,6363028085,1460783499301,324,40.312932,-120.646604,49.316402,-91.079724
7708038985,6363028085,1462228268236,647,33.407294,-111.645955,49.271674,-105.539102
7708038985,8437069796,1464724491323,1006,35.576477,-83.656075,24.580364,-85.749537
7708038985,7203270706,1485531113063,1091,29.878270,-77.390883,34.293296,-83.253636
7708038985,2021879190,1467280183304,1297,42.659641,-111.995411,40.835720,-103.561150
7708038985,2819911934,1477463165277,1329,34.940006,-107.342596,44.619563,-92.401952
7708038985,5409611868,1480784445902,1181,42.654823,-121.013961,47.373322,-83.681175
7708038985,5851533900,1469898438522,198,45.213447,-89.803949,32.439022,-98.395337
7708038985,2195305063,1471744109826,254,29.247637,-75.214824,49.290789,-90.442490
7708038985,5624357744,1479350717706,1485,30.025435,-113.219385,33.110297,-67.595982
7708038985,7757543943,1462539690562,718,24.749452,-79.425558,34.662080,-119.839747
7708038985,9179656184,1484314979319,199,36.403804,-115.969784,30.251616,-86.425968
5805504901,7185365888,1488140483205,1162,48.612171,-80.122725,29.449726,-81.989239
5805504901,7185365888,1482694216726,840,29.239425,-77.518801,27.989234,-108.371756
5805504901,2624704178,1462679181715,800,29.819682,-93.217695,31.335167,-123.888457
5805504901,7602664124,1483876656317,1159,41.848877,-105.264407,24.421171,-68.753558
5805504901,3194466320,1482535683000,1032,29.814159,-76.704128,27.775792,-93.519931
5805504901,3194466320,1490707012504,1099,36.262683,-73.934736,36.886245,-87.246541
5805504901,9372006979,1468838554292,1731,30.603553,-82.906148,32.057180,-106.160476
5805504901,9372006979,1490357968060,413,44.483035,-70.643639,45.306839,-90.769877
5805504901,6308040489,1476343391733,1042,36.686224,-83.038369,31.903634,-113.974251
5805504901,5804910597,1488203079676,870,30.666425,-98.272174,47.733628,-116.217226
5805504901,8643495812,1477267261959,870,43.887942,-72.389472,35.129861,-68.931066
5805504901,2271089106,1468987871099,860,48.753696,-123.191995,45.266514,-105.974602
5805504901,3166073355,1468976986955,917,27.839593,-74.523161,45.068435,-80.060204
5805504901,3166073355,1475733461890,1623,44.450171,-102.412747,41.508369,-104.874943
5805504901,3148936507,1466486779878,1718,42.908686,-111.478485,38.104664,-75.251502
5805504901,2273076423,1480919867284,295,48.263433,-89.908912,29.200758,-104.060949
5805504901,5187574829,1464738620668,484,24.779025,-83.883989,33.767500,-118.719156
5805504901,2608440966,1474834635966,1294,41.462156,-88.232550,36.636252,-117.744447
5805504901,2608440966,1463183641374,1732,24.709644,-68.527509,38.777340,-102.371047
5805504901,7152841923,1482719573298,528,45.357796,-112.001002,44.062354,-92.590303
8033540191,5611740606,1479719267840,1795,34.777034,-93.901029,39.057944,-118.119805
8033540191,5612742711,1466005988630,963,26.748087,-108.437152,43.206677,-81.292938
8033540191,5612742711,1476022614895,1753,27.511374,-70.131239,39.488751,-92.159037
8033540191,5612742711,1488518724761,1157,30.157385,-69.638354,36.291362,-87.688618
8033540191,9128448756,1483192599937,833,46.889181,-93.760395,38.469613,-103.236811
8033540191,8599689504,1465323587400,1448,44.341498,-92.643882,40.362725,-123.404776
8033540191,6239004129,1462072087565,1684,35.164619,-75.754413,30.891668,-116.207139
8033540191,6239004129,1490586199198,600,29.828913,-113.128501,38.392314,-108.630260
8033540191,6239004129,1468134019421,1369,34.166204,-121.101138,27.192875,-80.158860
8033540191,6067279338,1462792054241,513,25.054973,-73.699605,46.776322,-101.154251
8033540191,6067279338,1463051523618,1709,42.441191,-109.576371,31.276407,-88.057762
8033540191,7318453943,1465363473707,1573,25.205286,-106.435570,35.432344,-107.544949
8033540191,2341410932,1482671286439,1674,43.551300,-112.925768,28.588421,-104.993296
8033540191,2081993245,1466840588742,948,37.504609,-82.727907,29.671287,-96.343928
8033540191,2081993245,1481240644425,1276,28.700177,-74.617587,38.581226,-101.042299
8033540191,2081993245,1469430775229,1212,30.674228,-89.822823,42.697114,-103.219892
8033540191,3107809753,1461224025638,1444,34.697453,-113.403338,32.019367,-110.897833
8033540191,4641401877,1486627956911,772,25.877952,-90.670698,49.271130,-118.296231
8033540191,2674667609,1467174576149,196,24.593373,-100.884448,30.873226,-119.755530
8033540191,2674667609,1462440258534,1735,40.056392,-122.593891,28.528162,-74.930215
6787966039,8503323569,1482719619797,349,42.753047,-72.864447,25.366205,-80.602141
6787966039,4154465232,1461979298727,311,40.365824,-76.435374,25.497104,-89.754819
6787966039,3398705082,1465508470408,834,39.110571,-78.991662,28.713205,-97.344331
6787966039,6503456974,1478102739403,1085,35.462259,-99.672200,33.354823,-94.646417
6787966039,6012375731,1479294533729,847,31.553010,-97.614184,35.023824,-94.373201
6787966039,6413766712,1464820934030,967,47.955736,-70.013453,42.366092,-116.804723
6787966039,2182213609,1461788930204,602,31.748637,-67.199421,28.560399,-85.497181
6787966039,9728445829,1486204888230,441,38.105173,-84.151853,42.736394,-119.242828
6787966039,4135232735,1480631227310,1796,24.579423,-87.433119,47.130408,-112.445164
6787966039,2156216455,1467196725655,1634,47.510199,-106.508089,43.474003,-67.692042
6787966039,2156216455,1474791865022,423,38.048763,-82.768582,35.748622,-112.265775
6787966039,5173905987,1472282999621,405,48.195528,-104.413897,35.718611,-105.700770
6787966039,7813271796,1488019539795,528,37.166983,-70.261441,29.690174,-92.123430
6787966039,4028861433,1468166877642,609,38.998746,-86.181964,34.817078,-78.413270
6787966039,4175670604,1470433640013,1656,35.906077,-83.418690,39.119051,-68.848428
6787966039,4175670604,1482188739721,677,27.574237,-78.493717,41.466314,-82.972027
6787966039,9121595443,1477564253721,1131,40.099206,-86.940215,44.727594,-93.154016
6787966039,8184368871,1470894378371,1456,44.970890,-103.127806,44.815015,-71.585587
